"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Wonen/Gemiddelde woningwaarde (x 1 000 euro)";"Wonen/Woningen naar bouwjaar/Bouwjaar voor 2000 (%)";"Wonen/Woningen naar bouwjaar/Bouwjaar vanaf 2000 (%)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)"
"Amsterdam";"  821752";"  127467";"  106422";"  288230";"  202117";"   97516";"  449209";"  247417";"   90851";"  110941";"     232";"      88";"      12";"    26.9"
"Stadsdeel Centrum";"   86360";"    8395";"   10480";"   31930";"   24285";"   11280";"   55915";"   36505";"   11500";"    7920";"     319";"      93";"       7";"    35.8"
"Burgwallen-Oude Zijde";"    4250";"     255";"     730";"    1975";"     960";"     345";"    3075";"    2200";"     625";"     255";"     271";"      97";"       3";"    30.1"
"Burgwallen-Nieuwe Zijde";"    4535";"     250";"     725";"    2375";"     870";"     320";"    3200";"    2325";"     690";"     195";"     279";"      99";"       1";"    35.9"
"Grachtengordel-West";"    7060";"     650";"     900";"    2455";"    1975";"    1085";"    4605";"    2945";"    1095";"     570";"     498";"      99";"       1";"    52.5"
"Grachtengordel-Zuid";"    4400";"     475";"     525";"    1625";"    1140";"     645";"    2800";"    1780";"     640";"     390";"     489";"      99";"       1";"    55.0"
"Nieuwmarkt/Lastage";"    9530";"     810";"    1195";"    3215";"    2960";"    1365";"    6330";"    4165";"    1300";"     875";"     301";"      92";"       8";"    33.5"
"Haarlemmerbuurt";"    9290";"    1125";"     860";"    3145";"    2895";"    1275";"    5630";"    3405";"    1205";"    1030";"     307";"      76";"      24";"    35.0"
"Jordaan";"   19390";"    1805";"    1940";"    7255";"    5615";"    2775";"   13020";"    8810";"    2445";"    1770";"     281";"      98";"       2";"    32.2"
"De Weteringschans";"    7350";"     775";"     905";"    3035";"    1790";"     850";"    4725";"    3020";"    1065";"     645";"     359";"      96";"       4";"    39.9"
"Weesperbuurt/Plantage";"    7600";"     690";"    1130";"    2705";"    2010";"    1070";"    4845";"    3305";"     925";"     620";"     319";"      96";"       4";"    34.4"
"Oostelijke Eilanden/Kadijken";"   12945";"    1575";"    1585";"    4155";"    4080";"    1555";"    7670";"    4565";"    1525";"    1585";"     254";"      87";"      13";"    28.4"
"Stadsdeel Westpoort";"     405";"      20";"      40";"     170";"     145";"      35";"     270";"     230";"      25";"      25";"     185";"      71";"      29";"    24.9"
"Westelijk Havengebied";"     190";"      15";"      20";"      65";"      85";"      20";"     145";"     120";"      10";"      20";"     186";"      88";"      12";"    20.3"
"Bedrijventerrein Sloterdijk";"     210";"      10";"      25";"     105";"      60";"      15";"     125";"     110";"      15";"      10";"       .";"      60";"      40";"    31.4"
"Stadsdeel West";"  142640";"   19280";"   17280";"   61975";"   31790";"   12320";"   84640";"   50865";"   17030";"   16755";"     214";"      94";"       6";"    26.5"
"Houthavens";"    1595";"      80";"     705";"     425";"     295";"      95";"    1255";"    1015";"     175";"      70";"     167";"      18";"      82";"    23.3"
"Spaarndammer- en Zeeheldenbuurt";"   10755";"    1465";"    1040";"    4235";"    2875";"    1145";"    6285";"    3700";"    1195";"    1395";"     208";"      98";"       2";"    23.8"
"Staatsliedenbuurt";"   13050";"    1650";"    1150";"    5805";"    3405";"    1050";"    8020";"    4935";"    1580";"    1510";"     221";"      92";"       8";"    28.2"
"Centrale Markt";"    2535";"     365";"     360";"     675";"     900";"     240";"    1285";"     635";"     235";"     425";"     255";"      87";"      13";"    27.6"
"Frederik Hendrikbuurt";"    8370";"     900";"     790";"    3780";"    2065";"     840";"    5180";"    3225";"    1110";"     855";"     228";"      95";"       5";"    30.2"
